<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.02	09:00:00	1225.05	1228.42	1220.52	1222.86	3523	0	0
2014.01.02	10:00:00	1222.86	1223.91	1219.66	1221.65	2353	0	0
2014.01.02	11:00:00	1221.66	1221.96	1219.10	1221.26	2038	0	0
2014.01.02	12:00:00	1221.29	1221.83	1219.26	1221.25	1500	0	0
2014.01.02	13:00:00	1221.25	1221.46	1216.51	1217.95	2973	0	0
2014.01.02	14:00:00	1217.99	1219.47	1213.58	1216.09	3828	0	0
2014.01.02	15:00:00	1216.06	1223.92	1215.87	1223.28	6499	0	0
2014.01.02	16:00:00	1223.28	1226.58	1222.53	1225.69	6459	0	0
2014.01.02	17:00:00	1225.69	1225.94	1220.86	1223.52	6241	0	0
2014.01.02	18:00:00	1223.50	1227.02	1223.31	1224.79	4459	0	0
2014.01.02	19:00:00	1224.79	1225.21	1222.86	1224.25	1432	0	0
2014.01.02	20:00:00	1224.21	1230.65	1224.01	1228.72	1816	0	0
2014.01.02	21:00:00	1228.70	1228.70	1225.11	1225.16	853	0	0
2014.01.02	22:00:00	1225.11	1225.11	1222.09	1223.81	724	0	0
2014.01.02	23:00:00	1223.61	1226.02	1223.46	1224.23	560	0	0
2014.01.03	00:00:00	1224.18	1224.18	1222.48	1222.53	316	0	0
2014.01.03	01:00:00	1222.00	1224.51	1221.70	1223.35	466	0	0
2014.01.03	02:00:00	1223.28	1235.88	1223.28	1234.08	1538	0	0
2014.01.03	03:00:00	1234.18	1235.38	1228.33	1229.22	1868	0	0
2014.01.03	04:00:00	1229.24	1232.81	1229.24	1231.96	1197	0	0
2014.01.03	05:00:00	1231.93	1232.43	1229.49	1229.59	876	0	0
2014.01.03	06:00:00	1229.57	1230.63	1229.09	1230.31	640	0	0
2014.01.03	07:00:00	1230.46	1233.32	1230.19	1231.11	1098	0	0
2014.01.03	08:00:00	1231.23	1238.61	1231.10	1235.65	2436	0	0
2014.01.03	09:00:00	1235.69	1236.39	1232.43	1233.21	2075	0	0
2014.01.03	10:00:00	1233.19	1233.91	1230.20	1230.94	2068	0	0
2014.01.03	11:00:00	1231.01	1233.46	1227.93	1231.29	2220	0	0
2014.01.03	12:00:00	1231.29	1233.71	1231.16	1232.34	1449	0	0
2014.01.03	13:00:00	1232.39	1232.77	1230.76	1230.76	1202	0	0
2014.01.03	14:00:00	1230.74	1232.37	1229.78	1230.56	2614	0	0
2014.01.03	15:00:00	1230.60	1231.58	1226.87	1229.61	5329	0	0
2014.01.03	16:00:00	1229.58	1234.60	1228.12	1233.99	5862	0	0
2014.01.03	17:00:00	1234.01	1237.36	1232.99	1235.86	5708	0	0
2014.01.03	18:00:00	1235.95	1237.77	1234.65	1237.77	3954	0	0
2014.01.03	19:00:00	1237.77	1238.02	1235.82	1237.57	1539	0	0
2014.01.03	20:00:00	1237.67	1240.04	1235.87	1235.99	1992	0	0
2014.01.03	21:00:00	1236.19	1240.01	1236.02	1237.46	1443	0	0
2014.01.03	22:00:00	1237.44	1237.61	1235.27	1236.32	926	0	0
2014.01.03	23:00:00	1236.29	1237.14	1235.82	1236.58	807	0	0
2014.01.06	01:00:00	1236.85	1238.26	1233.75	1234.03	871	0	0
2014.01.06	02:00:00	1234.07	1235.82	1232.73	1234.84	1342	0	0
2014.01.06	03:00:00	1234.80	1244.30	1234.80	1242.32	2461	0	0
2014.01.06	04:00:00	1242.37	1246.16	1241.65	1244.74	1490	0	0
2014.01.06	05:00:00	1244.76	1244.84	1240.64	1240.85	1099	0	0
2014.01.06	06:00:00	1240.84	1240.94	1238.29	1239.29	845	0	0
2014.01.06	07:00:00	1239.31	1241.37	1237.74	1240.57	1050	0	0
2014.01.06	08:00:00	1240.62	1242.32	1239.41	1239.70	1981	0	0
2014.01.06	09:00:00	1239.68	1241.95	1238.67	1239.88	1931	0	0
2014.01.06	10:00:00	1239.87	1240.72	1236.87	1237.33	1837	0	0
2014.01.06	11:00:00	1237.37	1240.00	1235.93	1238.37	2246	0	0
2014.01.06	12:00:00	1238.36	1238.97	1236.47	1238.75	1700	0	0
2014.01.06	13:00:00	1238.58	1239.31	1236.61	1238.72	1391	0	0
2014.01.06	14:00:00	1238.66	1239.38	1235.39	1237.18	2597	0	0
2014.01.06	15:00:00	1237.10	1242.22	1236.97	1241.22	5326	0	0
2014.01.06	16:00:00	1241.17	1245.95	1239.54	1245.22	6071	0	0
